Stock,Weight,Name
SMCI,0.18,Super Micro Computer
NVDA,0.07,Nvidia
STZ,0.07,Constellation Energy
DECK,0.06,Deckers
META,0.06,Meta
MU,0.03,Micron
GE,0.02,General Electric
MPC,0.02,Marathon Petroleum
LLY,0.01,Eli Lilly
DIS,0.01,Walt Disney
WDC,0.01,Western Digital
ETN,0.01,Eaton
