Stock,Weight,Name
DFS,0.1,Discover Financial Services
GPN,0.09,Global Payments Inc
COF,0.09,Capital One Financial Corporation
NU,0.08,Nu Holdings Ltd Class A Ordinary Shares
SOFI,0.08,SoFi Technologies Inc
MORN,0.07,Morningstar Inc
FI,0.07,Fiserv Inc
PYPL,0.06,PayPal Holdings Inc
V,0.05,Visa Inc
MA,0.05,Mastercard Incorporated
UPST,0.04,Upstart Holdings Inc
LMND,0.04,Lemonade Inc
SYF,0.03,Synchrony Financial
FIS,0.02,Fidelity National Information Services Inc
