Stock,Weight,Name
AAPL,0.50,Apple Inc
AMZN,0.05,Amazon
GOOGL,0.05,Alphabet Inc Class A
META,0.05,Meta Platforms Inc Class A
MSFT,0.05,Microsoft Corporation
NVDA,0.05,NVIDIA Corporation
NFLX,0.05,Netflix Inc
TSLA,0.20,Tesla Inc

